"clone_subgroup_id","gex_annotation","N","mean_SHM","median_SHM","sd_SHM"
"1269_1","ASC 2",1,0.00597014925373134,0.00597014925373134,NA
"126_1","ASC 2",1,0.0214723926380368,0.0214723926380368,NA
"1270_1","IgD+ve Memory",1,0.0771513353115727,0.0771513353115727,NA
"1271_1","IgD+ve Memory",1,0.103550295857988,0.103550295857988,NA
"1271_1","IgD-ve Memory",1,0.0739644970414201,0.0739644970414201,NA
"1272_1","IgD-ve Memory",1,0.00884955752212389,0.00884955752212389,NA
"1273_1","IgD-ve Memory",1,0.042042042042042,0.042042042042042,NA
"1274_1","IgD+ve Memory",1,0.0177514792899408,0.0177514792899408,NA
"1275_1","ASC 2",1,0.0548780487804878,0.0548780487804878,NA
"1276_1","IgD+ve Memory",1,0.0588235294117647,0.0588235294117647,NA
"1277_1","IgD+ve Memory",1,0.0121951219512195,0.0121951219512195,NA
"1278_1","ASC 3",1,0.0507462686567164,0.0507462686567164,NA
"1278_2","IgD+ve Memory",1,0.062874251497006,0.062874251497006,NA
"1279_1","IgD-ve Memory",1,0.029673590504451,0.029673590504451,NA
"127_1","NAIVE 2",1,0,0,NA
"1280_1","NAIVE 1",1,0.0177514792899408,0.0177514792899408,NA
"1281_1","ASC 2",1,0,0,NA
"1282_1","ASC 2",2,0.0209580838323353,0.0209580838323353,0.0127025170273032
"1283_1","ASC 2",2,0.0825825825825826,0.0825825825825826,0.00212344378734699
"1284_1","ASC 2",2,0.075801749271137,0.075801749271137,0
"1285_1","ASC 2",1,0.104477611940299,0.104477611940299,NA
"1286_1","ASC 2",3,0.0365853658536585,0.0365853658536585,0.00914634146341463
"1287_1","IgD+ve Memory",2,0.029940119760479,0.029940119760479,0
"1288_1","IgD+ve Memory",1,0.0678466076696165,0.0678466076696165,NA
"1289_1","IgD-ve Memory",1,0.0416666666666667,0.0416666666666667,NA
"128_1","HSP+",1,0.047887323943662,0.047887323943662,NA
"1290_1","IgD+ve Memory",1,0.0117994100294985,0.0117994100294985,NA
"1291_1","HSP+",1,0.00593471810089021,0.00593471810089021,NA
"1291_1","IgD-ve Memory",1,0,0,NA
"1292_1","ASC 2",2,0.0979228486646884,0.0979228486646884,0
"1293_1","ASC 2",1,0,0,NA
"1294_1","NAIVE 1",1,0.0375722543352601,0.0375722543352601,NA
"1295_1","ASC 1",2,0.06158357771261,0.06158357771261,0.0082945076972029
"1296_1","IgD+ve Memory",1,0.0237388724035608,0.0237388724035608,NA
"1297_1","ASC 2",2,0.0291545189504373,0.0291545189504373,0
"1298_1","NAIVE 2",1,0,0,NA
"1299_1","IgD-ve Memory",1,0.0341880341880342,0.0341880341880342,NA
