gene,is_receptor_gene
AC130888.1,FALSE
AL391056.1,FALSE
RNF213,FALSE
IKZF2,FALSE
WNT5B,FALSE
PAG1,FALSE
BHLHA15,FALSE
MAGED1,FALSE
MLF1,FALSE
MGAT1,FALSE
U62317.4,FALSE
TUBB6,FALSE
DLG2,FALSE
AKAP12,FALSE
KLHL6,FALSE
NR4A3,FALSE
LAX1,FALSE
KYNU,FALSE
AGAP1,FALSE
LINC01887,FALSE
ACPP,FALSE
CIT,FALSE
AC068051.1,FALSE
GPRIN3,FALSE
AC018754.1,FALSE
ATOX1,FALSE
FAS,FALSE
NCAPG2,FALSE
FOXO3,FALSE
ABI3BP,FALSE
OS9,FALSE
CTSD,FALSE
CRIM1,FALSE
FOXJ1,FALSE
SORBS2,FALSE
BRCA1,FALSE
AC245100.1,FALSE
C2CD4D,FALSE
AL109806.2,FALSE
DEPDC1,FALSE
DOCK4,FALSE
MRPS34,FALSE
ADAMTSL4-AS1,FALSE
